Department,PrjInvId,Project Id,Person,NetId,Role,Start,End,Cost,Type,Title
,64961-8406,64961,"BARBASH, DANIEL A",DAB87,PI,2012,2017,1082446,GRANT,PREDOCTORAL TRAINING IN GENETICS & DEVELOPMENT
,64967-40951,64967,"HILL, TISA F",TFH3,KP,2012,2017,2225000,GRANT,SMARTER LUNCHROOMS: DOES CHANGING ENVIRONMENTS REALLY GIVE MORE NUTRITIONAL BANG FOR THE BUCK?
,64967-7724,64967,"JUST, DAVID R",DRJ3,CO,2012,2017,2225000,GRANT,SMARTER LUNCHROOMS: DOES CHANGING ENVIRONMENTS REALLY GIVE MORE NUTRITIONAL BANG FOR THE BUCK?
,64967-3311,64967,"DOLLAHITE, JAMIE",JSD13,CO,2012,2017,2225000,GRANT,SMARTER LUNCHROOMS: DOES CHANGING ENVIRONMENTS REALLY GIVE MORE NUTRITIONAL BANG FOR THE BUCK?
,64967-10584,64967,"WANSINK, BRIAN C.",BCW28,PI,2012,2017,2225000,GRANT,SMARTER LUNCHROOMS: DOES CHANGING ENVIRONMENTS REALLY GIVE MORE NUTRITIONAL BANG FOR THE BUCK?
,64967-37251,64967,"BRUMBERG, ADAM",AB697,KP,2012,2017,2225000,GRANT,SMARTER LUNCHROOMS: DOES CHANGING ENVIRONMENTS REALLY GIVE MORE NUTRITIONAL BANG FOR THE BUCK?
,64971-1601,64971,"LAI, DONG",DL57,PI,2012,2016,420000,GRANT,"THEORETICAL STUDY OF COMPACT OBJECTS: PULSARS, THERMALLY EMITTING NEUTRON STARS AND MAGNETARS"
,64975-9004,64975,"COHEN, PAULA E",PC242,CO,2012,2017,943947,GRANT,REPRODUCTIVE BIOLOGY AND GENOMICS TRAINING PROGRAM
,64975-3739,64975,"ROBERSON, MARK S",MSR14,PI,2012,2017,943947,GRANT,REPRODUCTIVE BIOLOGY AND GENOMICS TRAINING PROGRAM
,64988-5745,64988,"XU, CHRIS (CHUNHUI)",CX10,PI,2012,2016,1594667,GRANT,TECHNOLOGY DEVELOPMENT FOR IN VIVO DEEP TISSUE IMAGING
,65005-29509,65005,"KANE, CATHLEEN MAURA",CMK42,KP,2012,2017,1186087,COOP,CTSC-CLINICAL AND TRANSLATIONAL SCIENCE CENTER
,65005-29510,65005,"HEBBARD, CLAIRE ELISE",CER17,KP,2012,2017,1186087,COOP,CTSC-CLINICAL AND TRANSLATIONAL SCIENCE CENTER
,65005-3002,65005,"TROCHIM, WILLIAM M",WMT1,PI,2012,2017,1186087,COOP,CTSC-CLINICAL AND TRANSLATIONAL SCIENCE CENTER
,65008-2492,65008,"DAWSON, PAUL R",PRD5,PI,2012,2015,47880,GRANT,ANISOTROPIC MANTLE-ADVANCING MODELS OF REGIONAL FLOW AND ASSOCIATED SEISMIC SIGNATURE
,65009-1393,65009,"WALTER, MICHAEL T",MTW5,PI,2012,2016,161456,CONTRACT,MANAGING CRITICAL SOURCE AREAS FOR ENHANCING ECOSYSTEM SERVICES IN AGRICULTURAL LANDSCAPES
,65032-19467,65032,"SCHLOM, DARRELL",DS636,PI,2012,2015,450000,GRANT,SYNTHESIS OF DEFECT-MITIGATING TUNABLE DIELECTRIC MATERIALS WITH ATOMIC-LAYER CONTROL
,65051-24027,65051,"JANNINK, JEAN-LUC",JJ332,CO,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65051-2916,65051,"SORRELLS, MARK E",MES12,CO,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65051-970,65051,"MCCOUCH, SUSAN R",SRM4,CO,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65051-4724,65051,"BUCKLER, EDWARD S",ESB33,CO,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65051-20367,65051,"MAZOUREK, MICHAEL",MM284,CO,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65051-3192,65051,"DE JONG, WALTER",WSD2,PI,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65051-13008,65051,"MEZEY, JASON G.",JGM45,CO,2012,2017,238500,GRANT,PHD FELLOWSHIPS TO TRAIN PLANT BREEDERS FOR THE 21ST CENTURY
,65065-16607,65065,"STEDMAN, RICHARD C",RCS6,CO,2012,2015,466000,GRANT,TWENTY-FIRST CENTURY DEVELOPMENT OF 21ST CENTURY PRECISION AGRICULTURE FOR WATER QUALITY PROTECTION
,65065-1393,65065,"WALTER, MICHAEL T",MTW5,PI,2012,2015,466000,GRANT,TWENTY-FIRST CENTURY DEVELOPMENT OF 21ST CENTURY PRECISION AGRICULTURE FOR WATER QUALITY PROTECTION
