,"61089-3675","61089","POWER, ALISON G","ALISON","G","POWER","AGP4","PI","Science and Technology Studies","2189","3675","61089","A001","COLLABORATIVE RESEARCH: THE COMMUNITY ECOLOGY OF VIRAL PATHOGENS - CAUSES AND CONSEQUENCES OF CONFECTION IN HOSTS AND VECTORS","2161","Ecology and Evolutionary Biology","NATL SCIENCE FOUNDATION","2244","2010","2016","541971","GRANT","","","NSF","","","Ecology and Evolutionary Biology","ASAP"
,"74089-932","74089","LIPSON, MICHAL","MICHAL","","LIPSON","ML292","CO","Electrical & Computer Engineering","2370","932","74089","A001","COHERENT PHOTON CONVERSION WITH RB ATOMS ON CHIP","2371","Applied & Engineering Physics","AIR FORCE OFFICE OF SCIENTIFIC RESEARCH","1241","2014","2015","150000","GRANT","","","DOD","AF","AFOSR","Applied & Engineering Physics","ASAP"
,"72009-33710","72009","COMBS, DAVID B","DAVID","B","COMBS","DBC10","KP","CALS Entomology - Geneva","0621","33710","72009","A001","FACILITATING PROSPERITY IN NY BREWING INDUSTRY THROUGH RESEARCH & EXTENSION ON PRODUCTION OF MALTING BARLEY & HOPS","06B6","CALS Geneva AES Sponsored Awards","NYS DEPT OF AG & MARKETS","2301","2014","2016","200000","CONTRACT","","","NYS","AGMRKT","","CALS Geneva AES Finance & Operating","AMAF"
,"69308-12247","69308","FARINA, CYNTHIA RUTH","CYNTHIA","RUTH","FARINA","CRF7","CO","Law School Research","2518","12247","69308","A001","HCC: LARGE: SOCIAL-COMPUTATIONAL SUPPORT OF CIVIC ENGAGEMENT IN PUBLIC POLICY MAKING","3612","CS Faculty Activities","DIRECTORATE FOR COMPUTER & INFORMATION SCIENCE & ENGINEERING NSF","5167","2013","2016","2263876","GRANT","","","NSF","NSF CISE","","Computer Science","ASAP"
,"70602-34389","70602","MOEBIUS-CLUNE, DANIEL J","DANIEL","J","MOEBIUS-CLUNE","DJC74","KP","CALS CSS Uncategorized","01B6","34389","70602","A001","SOIL HEALTH TRAINING AND QUANTIFYING BENEFITS FOR PRECISION N MANAGEMENT","01B6","CALS CSS Uncategorized","NATURAL RESOURCES CONSERVATION SERVICE, USDA","3015","2013","2015","75000","GRANT","","","USDA","NRCS","","CALS Soil and Crop Sciences","APA"
,"67801-12287","67801","HADAD, ROBERT G","ROBERT","G","HADAD","RGH26","KP","CALS Cornell Cooperative Extension","0117","12287","67801","A001","RISK ASSESSMENT AND MANAGEMENT OF NEW CHALLENGES IN PHYTOPHTHORA BLIGHT FOR NEW YORK VEGETABLES","06C4","CALS PP-GN Uncategorized","NYS DEPT OF AG & MARKETS","2301","2012","2015","100000","CONTRACT","2990","AGRICULTURAL MARKETING SERV, USDA","NYS","AGMRKT","","CALS Plant Pathology","ASAP"
Applied and Engineering Physics,"76170-5784","76170","MULLER, DAVID A","DAVID","A","MULLER","DM24","PI","Applied & Engineering Physics","2371","5784","76170","A001","ACADEMIC PARTNERSHIP COLLABORATIVE AGREEMENT","2371","Applied & Engineering Physics","GENERAL MOTORS","1526","2015","2020","0","CONTRACT","","","GM","","","Applied & Engineering Physics","ASAP"
,"68664-19927","68664","TAISEY, ALLISON ANNE","ALLISON","ANNE","TAISEY","AAT25","KP","CALS CCE NE IPM","0114","19927","68664","A001","PROMOTING IPM IN AFFORDABLE HOUSING","0114","CALS CCE NE IPM","NATIONAL INSTITUTE OF FOOD AND AGRICULTURE-USDA","19473","2012","2016","1136366","GRANT","1624","US DEPT OF HOUSING & URBAN DEV","USDA","USDA-NIFA","","CALS Cornell Cooperative Extension","APA"
,"76830-9024","76830","PECK, MASON","MASON","","PECK","MP336","PI","Mechanical & Aerospace Engineering","2355","9024","76830","A001","CLOSE PROXIMITY ROBOTIC MANEUVERING THROUGH FLUX PINNING MANIPULATION","2355","Mechanical & Aerospace Engineering","NATL AERONAUTICS & SPACE ADM","535","2015","2019","74000","GRANT","","","NASA","","","Mechanical & Aerospace Engineering","ASAP"
,"67798-8805","67798","SLOAN, GREGORY","GREGORY","","SLOAN","GCS22","PI","Center Astrophysics-Planetary Science","3425","8805","67798","A001","OPTIMAL EXTRACTION OF HIGH-RESOLUTION SPECTRA FROM THE INFRARED SPECTROGRAPH ON SPITZER","3425","Center Astrophysics-Planetary Science","NASA SHARED SERVICES CENTER","16293","2013","2016","413848","GRANT","","","NASA","NSSC","","Center Astrophysics-Planetary Science","ASAP"
,"72848-11404","72848","COHEN, ITAI","ITAI","","COHEN","IC64","CO","Physics","2186","11404","72848","A001","COLLABORATIVE RESEARCH: DMREF GRAPHENE BASED ORIGAMI AND KIRIGAMI METAMATERIALS","3476","Lab. of Atomic & Solid State Physics","DIRECTORATE FOR MATHEMATICAL & PHYSICAL SCIENCES NSF","5171","2014","2018","1000000","GRANT","","","NSF","NSF MPS","","Lab. of Atomic & Solid State Physics","ASAP"
,"72729-30528","72729","HAYES, ALEXANDER G","ALEXANDER","G","HAYES","AGH4","PI","Center Astrophysics-Planetary Science","3425","30528","72729","A001","UNDERSTANDING TITAN'S HYDROLOGIC CYCLE: A COMBINED GROUND AND SPACECRAFT-BASED APPROACH","3425","Center Astrophysics-Planetary Science","NATL AERONAUTICS & SPACE ADM","535","2014","2015","30000","GRANT","","","NASA","","","Center Astrophysics-Planetary Science","AMRO"
